UPC,Brand Name,Product Name,Tags
7.48703E+11,Northgate Market,Tortillas de Maiz,Soft Corn - Yellow
7.48703E+11,Northgate Market,White Corn,Soft Corn - White
41501009222,Ortega,Whole Wheat Tortillas,Whole Wheat
72899610417,Ozuna,White Corn Tortillas,Soft Corn - White
72899610905,Ozuna,Whole Wheat Tortillas,100% Whole Wheat
2.031E+11,Pro's Ranch Market,White Corn Tortillas,Soft Corn - White
2.03101E+11,Pro's Ranch Market,Yellow Corn Tortillas,Soft Corn - Yellow
45724000059,R&amp;N Tortillas,Soft White Corn Tortillas,Soft Corn - White
45724000134,R&amp;N Tortillas,Whole Wheat Tortillas,100% Whole Wheat
84964010022,Ramona's Mexican Food,Hand Made Whole Wheat Tortilla's,Whole Wheat
21108101055,Romero's,Large King Corn,Soft Corn - White
21108101109,Romero's,Stone Ground Corn Tortilla,Soft Corn - White
21108202110,Romero's,Whole Wheat Tortilla,Whole Wheat
81896199900,Santa Fe Tortilla Co.,White Corn Tortilla,Soft Corn - White
81896198996,Santa Fe Tortilla Co.,Whole Wheat Tortilla,100% Whole Wheat
81896198613,Santa Fe Tortilla Co.,Yellow Corn Tortilla,Soft Corn - Yellow
7.43209E+11,Sol De Oro,Corn Tortillas Blancas 12 ct,Soft Corn - White
7.43209E+11,Sol De Oro,Whole Wheat Gorditas - Tortillas,Whole Wheat
7.43209E+11,Sol De Oro,Whole Wheat Tortillas 12 ct,Whole Wheat
7.43209E+11,Sol De Oro,Yellow Corn Tortillas 12 ct,Soft Corn - Yellow
7.03956E+11,Tia Rosa,King Size Corn Yellow 12 ct,Soft Corn - Yellow
7.03965E+11,Tia Rosa,White Corn Tortillas,Soft Corn - White
7.03965E+11,Tia Rosa,Whole Wheat,100% Whole Wheat
2.06034E+11,Vallarta,Soft Corn  Tortillas,Soft Corn - White
6.65782E+11,Vallarta,Whole Wheat Tortillas,Whole Wheat
2.06035E+11,Vallarta,Yellow Corn Tortillas,Soft Corn - Yellow
39978001535,Bob's Red Mill,Quick Cooking Rolled Oats Whole Grain,Quick
39978001542,Bob's Red Mill,Old Fashioned Rolled Oats Whole Grain,Old Fashioned
39978001559,Bob's Red Mill,Extra Thick Rolled Oats Whole Grain,Rolled
39978001603,Bob's Red Mill,Instant Rolled Oats Whole Grain,Instant
16000486416,Chex,Gluten Free Oatmeal,Quick
1.8386E+11,Early On,Quick Oats,Rolled
72463000217,McCann's,Irish Oatmeal Quick Cooking,Quick
72463000224,McCann's,Irish Oatmeal Steel Cut,Steel Cut
72463000309,McCann's,Irish Oatmeal Steel Cut,Quick
42400016922,Mom's Best,Naturals Quick Oats,Quick
